Year,Tournaments,Sec,Date,Kick-off,Home,Score,Away,Venue,Att.,Score_Home,Score_Away,Result_Home,Result_Away
2017,J1,1st Day 1st Sec,2017-02-25 12:35:00,12:35,Yokohama F･M,3-2,Urawa,Nissan.S,39284,3,2,WIN,LOSS
2017,J1,1st Day 1st Sec,2017-02-25 14:04:00,14:04,Shimizu,0-1,Kobe,IAI.S,17861,0,1,LOSS,WIN
2017,J1,1st Day 1st Sec,2017-02-25 14:04:00,14:04,Kashima,0-1,FC-Tokyo,Kashima,28240,0,1,LOSS,WIN
2017,J1,1st Day 1st Sec,2017-02-25 14:04:00,14:04,Sendai,1-0,Sapporo,Yurtec.S,17230,1,0,WIN,LOSS
2017,J1,1st Day 1st Sec,2017-02-25 14:04:00,14:04,Hiroshima,1-1,Niigata,EDION Stadium.H,17545,1,1,DRAW,DRAW
2017,J1,1st Day 1st Sec,2017-02-25 14:05:00,14:05,Tosu,1-3,Kashiwa,Best Amenity.S,14355,1,3,LOSS,WIN
2017,J1,1st Day 1st Sec,2017-02-25 15:03:00,15:03,C-Osaka,0-0,Iwata,YANMAR STADIUM,33208,0,0,DRAW,DRAW
2017,J1,1st Day 1st Sec,2017-02-25 16:03:00,16:03,Omiya,0-2,Kawasaki-F,NACK5.S,11962,0,2,LOSS,WIN
2017,J1,2nd Day 1st Sec,2017-02-26 17:03:00,17:03,G-Osaka,1-1,Kofu,Suita S,21284,1,1,DRAW,DRAW
2017,J1,1st Day 2nd Sec,2017-03-04 14:01:00,14:01,Urawa,3-1,C-Osaka,Saitama.S,43826,3,1,WIN,LOSS
2017,J1,1st Day 2nd Sec,2017-03-04 14:04:00,14:04,Kofu,0-1,Kashima,Yamanashibank.S,13199,0,1,LOSS,WIN
2017,J1,1st Day 2nd Sec,2017-03-04 14:04:00,14:04,Hiroshima,0-1,Shimizu,EDION Stadium.H,13489,0,1,LOSS,WIN
2017,J1,1st Day 2nd Sec,2017-03-04 15:03:00,15:03,Iwata,0-1,Sendai,Yamaha,14554,0,1,LOSS,WIN
2017,J1,1st Day 2nd Sec,2017-03-04 15:04:00,15:04,FC-Tokyo,2-0,Omiya,Ajinomoto,27259,2,0,WIN,LOSS
2017,J1,1st Day 2nd Sec,2017-03-04 16:03:00,16:03,Kobe,2-1,Niigata,NOEVIR.S,25278,2,1,WIN,LOSS
2017,J1,1st Day 2nd Sec,2017-03-04 19:03:00,19:03,Yokohama F･M,3-0,Sapporo,NHK Mitsuzawa.F,12740,3,0,WIN,LOSS
2017,J1,2nd Day 2nd Sec,2017-03-05 15:03:00,15:03,Kashiwa,1-3,G-Osaka,Kashiwa,13649,1,3,LOSS,WIN
2017,J1,2nd Day 2nd Sec,2017-03-05 17:03:00,17:03,Kawasaki-F,1-1,Tosu,Todoroki,22705,1,1,DRAW,DRAW
2017,J1,1st Day 3rd Sec,2017-03-10 19:03:00,19:03,Kashima,1-0,Yokohama F･M,Kashima,12537,1,0,WIN,LOSS
2017,J1,1st Day 3rd Sec,2017-03-10 19:03:00,19:03,Kawasaki-F,2-1,Kashiwa,Todoroki,18608,2,1,WIN,LOSS
2017,J1,1st Day 3rd Sec,2017-03-10 19:33:00,19:33,Urawa,4-1,Kofu,Saitama.S,22711,4,1,WIN,LOSS
2017,J1,2nd Day 3rd Sec,2017-03-11 15:04:00,15:04,Omiya,1-2,Iwata,NACK5.S,11943,1,2,LOSS,WIN
2017,J1,2nd Day 3rd Sec,2017-03-11 15:05:00,15:05,Tosu,1-0,Hiroshima,Best Amenity.S,13004,1,0,WIN,LOSS
2017,J1,2nd Day 3rd Sec,2017-03-11 15:06:00,15:06,Sapporo,1-1,C-Osaka,Sapporo.D,21760,1,1,DRAW,DRAW
2017,J1,2nd Day 3rd Sec,2017-03-11 15:35:00,15:35,Niigata,0-2,Shimizu,DENKA BIG SWAN,31014,0,2,LOSS,WIN
2017,J1,2nd Day 3rd Sec,2017-03-11 16:05:00,16:05,Sendai,0-2,Kobe,Yurtec.S,14369,0,2,LOSS,WIN
2017,J1,2nd Day 3rd Sec,2017-03-11 19:03:00,19:03,G-Osaka,3-0,FC-Tokyo,Suita S,24292,3,0,WIN,LOSS
2017,J1,1st Day 4th Sec,2017-03-18 14:03:00,14:03,Shimizu,2-3,Kashima,IAI.S,16951,2,3,LOSS,WIN
2017,J1,1st Day 4th Sec,2017-03-18 14:03:00,14:03,Yokohama F･M,1-1,Niigata,Nissan.S,20191,1,1,DRAW,DRAW
2017,J1,1st Day 4th Sec,2017-03-18 14:03:00,14:03,Sapporo,2-1,Hiroshima,Sapporo.D,12624,2,1,WIN,LOSS
2017,J1,1st Day 4th Sec,2017-03-18 14:04:00,14:04,Kofu,1-0,Omiya,Yamanashibank.S,10079,1,0,WIN,LOSS
2017,J1,1st Day 4th Sec,2017-03-18 15:03:00,15:03,C-Osaka,1-0,Tosu,KINCHO.S,13086,1,0,WIN,LOSS
2017,J1,1st Day 4th Sec,2017-03-18 15:03:00,15:03,Kashiwa,0-1,Sendai,Kashiwa,9905,0,1,LOSS,WIN
2017,J1,1st Day 4th Sec,2017-03-18 16:03:00,16:03,Kobe,1-0,Iwata,NOEVIR.S,17027,1,0,WIN,LOSS
2017,J1,1st Day 4th Sec,2017-03-18 19:04:00,19:04,FC-Tokyo,3-0,Kawasaki-F,Ajinomoto,36311,3,0,WIN,LOSS
2017,J1,2nd Day 4th Sec,2017-03-19 17:03:00,17:03,G-Osaka,1-1,Urawa,Suita S,34733,1,1,DRAW,DRAW
2017,J1,1st Day 5th Sec,2017-04-01 14:03:00,14:03,Niigata,2-3,G-Osaka,DENKA BIG SWAN,20043,2,3,LOSS,WIN
2017,J1,1st Day 5th Sec,2017-04-01 14:03:00,14:03,Sendai,0-2,Kawasaki-F,Yurtec.S,13122,0,2,LOSS,WIN
2017,J1,1st Day 5th Sec,2017-04-01 14:04:00,14:04,Hiroshima,0-2,Kashiwa,EDION Stadium.H,13639,0,2,LOSS,WIN
2017,J1,1st Day 5th Sec,2017-04-01 15:03:00,15:03,Iwata,3-1,Shimizu,Ecopa,40491,3,1,WIN,LOSS
2017,J1,1st Day 5th Sec,2017-04-01 15:03:00,15:03,C-Osaka,2-0,Yokohama F･M,KINCHO.S,14455,2,0,WIN,LOSS
2017,J1,1st Day 5th Sec,2017-04-01 16:04:00,16:04,FC-Tokyo,3-3,Tosu,Ajinomoto,19669,3,3,DRAW,DRAW
2017,J1,1st Day 5th Sec,2017-04-01 16:04:00,16:04,Kobe,1-3,Urawa,NOEVIR.S,18889,1,3,LOSS,WIN
2017,J1,1st Day 5th Sec,2017-04-01 19:04:00,19:04,Omiya,0-1,Kashima,NACK5.S,11676,0,1,LOSS,WIN
2017,J1,2nd Day 5th Sec,2017-04-02 17:04:00,17:04,Kofu,2-0,Sapporo,Yamanashibank.S,10195,2,0,WIN,LOSS
2017,J1,1st Day 6th Sec,2017-04-07 19:03:00,19:03,G-Osaka,0-1,Hiroshima,Suita S,13521,0,1,LOSS,WIN
